inchikey,smiles,pchembl,chembl_id
AJQNBYPBKWWGGC-MPXLCVCVSA-N,CCC[C@H](CCc1ccccc1)C1CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)C(=O)O1,11.154901959985743,CHEMBL5639410
AJRIYNHBVUKNQE-WZJLIZBTSA-N,O=C1N(CC#Cc2cccnc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC#Cc1cccnc1,6.0,CHEMBL354134
AJSYTPPNIVWKJN-OCFVUHCMSA-N,COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)cc1,-0.8900000000001729,CHEMBL357343
AJSYTPPNIVWKJN-ZWGMGHSWSA-N,COc1ccc(CN[C@@H](C(=O)NC(C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)cc1,8.11,CHEMBL435379
AJVZFVAMCBQKPD-ZRNYENFQSA-N,CN1C(=O)N(C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,5.24,CHEMBL328959
AJZAPEZJWWQJHC-UWNKZCSISA-N,CNC(=O)[C@@H](NC(=O)[C@H](OCc1ccc(-c2ccsc2)cc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccc(-c2ccsc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C,8.92,CHEMBL127214
AJZZKLTWLUIAQB-UHFFFAOYSA-N,Cc1cc(SC2=C(O)OC(CCc3csc(CO)c3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,9.72,CHEMBL77786
AKANIWCKOITLMP-OKPHKMHUSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(OCC(=O)N2CCOCC2)cc1)C(=O)NC1c2ccccc2C[C@H]1O,9.7,CHEMBL297673
AKDDVCBDMAAMSJ-UHFFFAOYSA-N,COc1ccc(CCCCc2c(O)oc3ccccc3c2=O)cc1,4.0,CHEMBL412672
AKQVVKQZOJNELV-PASMDFPHSA-N,COc1cc(CN2C(=O)N(Cc3cccc(C(=O)Nc4cnccn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc(OC)c1,8.6,CHEMBL132231
AKRYVKJLBSLBGE-UCGXPXSYSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@H]1CCCNC1)S(=O)(=O)c1ccc(C(F)(F)F)cc1,8.58,CHEMBL4877064
AKRYVKJLBSLBGE-ZSQFBXSQSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCCNC1)S(=O)(=O)c1ccc(C(F)(F)F)cc1,8.76,CHEMBL4858570
AKSONJGXCNANNF-ZRTHHSRSSA-N,NNC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NN)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,10.74,CHEMBL316147
AKXKYLPFDJOWHT-FJGHDBNBSA-N,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1ccccn1)C(C)C,7.37,CHEMBL113554
ALLAFRKTPZNMHZ-QZOKKDONSA-N,CCC(C)[C@H](NC(=O)CCCCCCCCCCCNC(=O)CNC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/C(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.78,CHEMBL433569
ALMDPFUYLOUHNS-ZPGRZCPFSA-N,O=C(N[C@@H](Cc1ccccc1)[C@H](Cc1ccccc1)n1cc(CN2CCC(Cc3ccccc3)CC2)nn1)OC1CCCC1,,CHEMBL386496
ALRIPXLHDVNKNQ-GFZKKPQCSA-N,O=C(NC(Cc1ccccc1)C(O)CN1CCCCCCCCC/C=C/CCOC1=O)O[C@H]1CO[C@H]2OCC[C@H]21,7.06,CHEMBL59732
ALTDXMYESHNRHZ-OHPUKFEYSA-N,CCCCC(NC(=O)CCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(N)=O)C(=O)N[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)CC,5.8,CHEMBL370393
ALTVMWYJEWQTBB-NNKIWQPVSA-N,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(O)C(F)(F)F,7.4,CHEMBL45838
ALUYKRIZHOPUSY-CRJHUGKGSA-N,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C,8.28,CHEMBL323955
ALUYKRIZHOPUSY-KDLDDKKNSA-N,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C,7.51,CHEMBL263534
ALUYKRIZHOPUSY-NCRKLPSZSA-N,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C,7.66,CHEMBL442010
ALWJYOKOXBCJQT-UHFFFAOYSA-J,O=S(=O)([O-])c1cc(NS(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)Nc4cc(S(=O)(=O)[O-])c5cccc(S(=O)(=O)[O-])c5c4)cc3)cc2)cc2c(S(=O)(=O)[O-])cccc12.[Na+].[Na+].[Na+].[Na+],,CHEMBL1744090
AMAIAUFNSURFAS-PZWMIYICSA-N,CC(=O)Nc1ccc(S(=O)(=O)N(CCC(C)C)C[C@@H](O)[C@@H]2Cc3ccc(cc3)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N2)cc1,8.0,CHEMBL42402
AMNCJZAOSZGEBS-ZRTHHSRSSA-N,O=C1N(Cc2cccc(C(=O)C(F)(F)F)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(C(=O)C(F)(F)F)c1,10.43,CHEMBL292631
AMRCRTWECQWVMW-UHFFFAOYSA-N,[O-][S+](Cc1[nH]c2ccccc2c1[S+]([O-])c1ccccc1)c1ccccc1,4.14,CHEMBL24214
AMUIGYCIMWIYEY-GGXMVOPNSA-N,COc1cc(CN2C(=O)N(Cc3ccc(O)c(OC)c3)N(C(=O)CN3CCNCC3)C[C@@H](O)[C@H]2Cc2ccccc2)ccc1O,8.21,CHEMBL434190
AMVDOBISLYZBFC-YTTGMZPUSA-N,Cc1ccc(S(=O)(=O)N(CC2CCCC2)[C@@H](CCCCNC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1,8.28,CHEMBL369291
AMZQDBGCBMILLG-UHFFFAOYSA-N,CC(C)c1ccccc1SC1=C(O)OC(CCCC(N)=O)(c2ccccc2)CC1=O,7.0,CHEMBL162922
