tag,smiles,affinity,pose
lig_0189,CC(C)CC(Sc1ccccc1)c1c(O)cc(-c2ccccc2)oc1=O,-8.53,dockrun/out/lig_0189_best.pdbqt
lig_0024,CCC(C1=C(O)OC(CC)(c2ccccc2)CC1=O)c1ccccc1,-8.504,dockrun/out/lig_0024_best.pdbqt
lig_0038,O=c1c(CCc2ccc(O)cc2)c(O)oc2ccccc12,-8.501,dockrun/out/lig_0038_best.pdbqt
lig_0032,CCC(c1ccccc1)c1c(O)c2c(oc1=O)C(C)CCCCCC2,-8.476,dockrun/out/lig_0032_best.pdbqt
lig_0084,CC(C)C[C@@H]1[C@H](O)[C@@H](O)[C@@H](CC(C)C)N(CC2CC2)C(=O)N1Cc1ccccc1,-8.473,dockrun/out/lig_0084_best.pdbqt
lig_0139,O=c1cc(C(c2ccccc2)C2CC2)oc(O)c1SCc1ccccc1,-8.46,dockrun/out/lig_0139_best.pdbqt
lig_0138,[CH][C@H](Cc1ccccc1)OC(=O)C(NC(=O)N(C)Cc1csc(C2CC2)n1)C(C)C,-8.455,dockrun/out/lig_0138_best.pdbqt
lig_0079,O=C(OC1COc2cc(O)cc(O)c2C1)c1ccc(C(F)(F)F)cc1O,-8.453,dockrun/out/lig_0079_best.pdbqt
lig_0107,CCc1nn(C)cc1CNC(=O)NC(CSc1ccccc1)C(=O)C(F)(F)F,-8.421,dockrun/out/lig_0107_best.pdbqt
lig_0089,O=C(CCc1ccccc1)NC(CC1CC1)C(=O)NCC1N=Cc2cncnc21,-8.411,dockrun/out/lig_0089_best.pdbqt
lig_0187,[CH][C@@H](O)C[C@H](Cc1ccccc1)NC(=O)COc1nc(=O)n([C@@H]2CCS(=O)(=O)C2)cc1C,-8.394,dockrun/out/lig_0187_best.pdbqt
lig_0028,COc1cccc2c1-c1cc(OCCN3CCOCC3)ccc1CCCO2,-8.385,dockrun/out/lig_0028_best.pdbqt
lig_0035,NC(=O)CCCC1[C@H]2CC(C(F)(F)F)CN2C(=O)N1Cc1cccc(O)c1,-8.369,dockrun/out/lig_0035_best.pdbqt
lig_0128,[CH]C[C@H](Cc1ccccc1)NC(=O)C(NC(=O)OCc1cc(C(C)(C)C)on1)C(C)C,-8.341,dockrun/out/lig_0128_best.pdbqt
lig_0006,O=C(NCc1ccccc1)C(c1ccccc1)N1CCC1=O,-8.335,dockrun/out/lig_0006_best.pdbqt
lig_0019,O=C(N[C@H]1CN2CCC1CC2)C(Cc1ccccc1)N1CCC1=O,-8.298,dockrun/out/lig_0019_best.pdbqt
lig_0166,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CCC(=O)NCc1cccs1,-8.244,dockrun/out/lig_0166_best.pdbqt
lig_0160,CC(C)NC(=O)[C@@H]1CSCN1C(=O)C(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,-8.238,dockrun/out/lig_0160_best.pdbqt
lig_0066,CC(C)C1(CCc2ccoc2)CCC2=CC=CC=C(CSC=C(O)O1)NC2,-8.231,dockrun/out/lig_0066_best.pdbqt
lig_0096,CCSCC1=C(O)C=C(C)OC(=O)Cc2c(C(=O)N3CCC(C(N)=O)CC3)cccc21,-8.221,dockrun/out/lig_0096_best.pdbqt
lig_0058,O=C1CC=CC=CCC2c3c(O)cccc3OCC2O1,-8.193,dockrun/out/lig_0058_best.pdbqt
lig_0102,CCNC(=O)c1cccc(CNC(=O)NCCC(C)(C)c2ccccc2)c1,-8.19,dockrun/out/lig_0102_best.pdbqt
lig_0001,CCC(c1ccccc1)c1c(O)c2c(oc1=O)CCCC2,-8.166,dockrun/out/lig_0001_best.pdbqt
lig_0044,NC(=O)c1[nH]c2ccc(Cl)cc2c1Sc1ccccc1,-8.129,dockrun/out/lig_0044_best.pdbqt
lig_0147,CO[C@@H]1OC(CNC(=O)OCc2ccccc2)[C@@H](O)C(OCc2ccccc2)[C@H]1O,-8.1,dockrun/out/lig_0147_best.pdbqt
lig_0048,CCOC(=O)C(NC(=O)CC(C)c1ccc(O)cc1)c1ccccc1,-8.041,dockrun/out/lig_0048_best.pdbqt
lig_0033,COC(=O)[C@H](Cc1ccccc1)NC(=O)CCc1ccccc1,-8.038,dockrun/out/lig_0033_best.pdbqt
lig_0054,NC(=O)c1[nH]c2ccc(Br)cc2c1Sc1ccccc1,-8.027,dockrun/out/lig_0054_best.pdbqt
lig_0115,CCCN1C(=O)N(CCC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1CCc1ccccc1,-7.956,dockrun/out/lig_0115_best.pdbqt
lig_0074,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)[C@@H](O)CC1CCCCC1,-7.931,dockrun/out/lig_0074_best.pdbqt
lig_0075,O=C(O)c1cccc(CSc2c(O)oc3ccccc23)c1,-7.919,dockrun/out/lig_0075_best.pdbqt
lig_0191,CCSc1ncn(C[C@@H](O)[C@H](Cc2ccccc2)NCC(=O)N2CCOCC2)n1,-7.913,dockrun/out/lig_0191_best.pdbqt
lig_0076,O=C(O)C(CC1CC1)c1c(O)oc2c(c1=O)CCCCCCCC2CC1CC1,-7.873,dockrun/out/lig_0076_best.pdbqt
lig_0137,CSc1ncccc1CN1CCN(Cc2cc3ccsc3s2)CC1,-7.871,dockrun/out/lig_0137_best.pdbqt
lig_0041,CNC(=O)c1[nH]c2ccccc2c1Sc1ccccc1,-7.857,dockrun/out/lig_0041_best.pdbqt
lig_0123,CC1Cc2cc(Br)c(O)cc2C2(C1)CC(C)(C)c1ccc(O)cc12,-7.818,dockrun/out/lig_0123_best.pdbqt
lig_0059,CC[C@H]1C=C(CNC(=O)N[C@@H](C)c2cccc(OCC(C)C)c2)N=NO1,-7.794,dockrun/out/lig_0059_best.pdbqt
lig_0018,Cc1cc(S(C)(=O)=O)ccc1[C@@]1(CC(C)C)COC=CC=CCNC[C@@H]1O,-7.766,dockrun/out/lig_0018_best.pdbqt
lig_0101,CC(C)c1[nH]c2ccccc2c1Sc1ccccc1,-7.765,dockrun/out/lig_0101_best.pdbqt
lig_0020,O=C(OC1COc2cc(O)cc(O)c2C1)c1ccc(F)cn1,-7.744,dockrun/out/lig_0020_best.pdbqt
lig_0017,O=C(NCc1ccccc1)C(Cc1ccccc1)N1CCC1=O,-7.706,dockrun/out/lig_0017_best.pdbqt
